date,GDP (current US$),GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population,Exports (current US$),Imports (current US$),Population growth (%),Export growth (%),Import growth (%)
2001,10581929000000.0,0.955538346430316,4.731,4.56713894364996,2.25168991597403,284968955.0,1026812000000.0,1403559000000.0,,,
2002,10929108000000.0,1.70044732363073,5.783,3.0732472423635,1.55399465961345,287625193.0,997979000000.0,1437724000000.0,0.9321148684424241,-2.8080115931640837,2.4341691371720042
2003,11456450000000.0,2.795605965883,5.989,2.10659449044537,1.9743147047601,290107933.0,1035165000000.0,1557120000000.0,0.8631858614693844,3.726130509760228,8.30451463563242
2004,12217196000000.0,3.84777169205226,5.529,1.60768046080895,2.68908760322005,292805298.0,1176363000000.0,1810504000000.0,0.9297798140528668,13.640144324817793,16.27260583641594
2005,13039197000000.0,3.483549937943,5.084,2.96087521313044,3.13545455674655,295516599.0,1301580000000.0,2041482000000.0,0.9259740238716674,10.644418432065606,12.757663059567935
2006,13815583000000.0,2.78453963938148,4.623,4.72786366990758,3.08383673352866,298379912.0,1470170000000.0,2256623000000.0,0.9689178238004859,12.952719003057812,10.53847156134613
2007,14474228000000.0,2.00385829825838,4.622,5.19986376311978,2.70925848658695,301231207.0,1659295000000.0,2395228000000.0,0.9555921445542959,12.86415856669636,6.142142484588686
2008,14769862000000.0,0.113587248258867,5.784,3.10104221978606,1.92670969899538,304093966.0,1835280000000.0,2576151000000.0,0.950352730220283,10.606010383928123,7.553477163760602
2009,14478067000000.0,-2.57650023426996,9.254,2.61707765460079,0.61678071512577,306771529.0,1582774000000.0,2001927000000.0,0.8805051396514774,-13.758445577786492,-22.289997752460945
2010,15048971000000.0,2.6951925838264,9.633,2.01028262116756,1.21528668186946,309327143.0,1857247000000.0,2389555000000.0,0.8330675302009594,17.341262871389084,19.362743996159693
2011,15599732000000.0,1.56440685438301,8.949,1.16289865228358,2.06310947543149,311583481.0,2115864000000.0,2695480000000.0,0.7294342093994599,13.924749912101086,12.802592951407266
2012,16253970000000.0,2.28911338767897,8.069,1.36246374976571,1.8621649281277,313877662.0,2217700000000.0,2769317000000.0,0.7362973777162551,4.812974746959164,2.7392894771988585
2013,16880683000000.0,2.11783009919849,7.375,1.52221338861923,1.70188036067233,316059947.0,2287922000000.0,2766375000000.0,0.6952661065762644,3.1664336925643743,-0.10623558083093787
2014,17608138000000.0,2.52381981441982,6.168,1.48256139059228,1.74161805258845,318386329.0,2378545000000.0,2887445000000.0,0.7360572011992472,3.9609304862665784,4.37648547286611
2015,18295019000000.0,2.94555045455233,5.28,2.31051464059837,0.928042794757729,320738994.0,2270622000000.0,2794942000000.0,0.7389340514051934,-4.537353718344617,-3.2036281210551243
2016,18804913000000.0,1.81945147474293,4.869,2.53723229857104,0.950322479212474,323071755.0,2235558000000.0,2738830000000.0,0.7273081987654972,-1.544246466386745,-2.0076266341126248
2017,19612102000000.0,2.45762230322211,4.355,2.26529637979253,1.79080328489228,325122128.0,2388260000000.0,2931589000000.0,0.6346494140287762,6.8305988929833195,7.038005279626702
2018,20656516000000.0,2.96650506916633,3.896,2.55474987327681,2.29089027694276,326838199.0,2538089000000.0,3131166000000.0,0.5278235014505084,6.273563179888297,6.807809689557431
2019,21539982000000.0,2.58382533018855,3.669,3.57306216647059,1.65046566913496,328329953.0,2539391000000.0,3116681000000.0,0.45641972222469906,0.051298437525248985,-0.4626072204412024
2020,21354105000000.0,-2.16302913866514,8.055,2.18628189883077,1.32883273821459,331526933.0,2151139000000.0,2777341000000.0,0.9737095171453936,-15.289177602031357,-10.887864365971367
2021,23681171000000.0,6.05505293304576,5.349,-1.25852158930471,4.56598550261971,332048977.0,2555430000000.0,3415459000000.0,0.15746654284645167,18.794275962641183,22.9758607243403
2022,26006893000000.0,2.51237531983308,3.65,,7.12948085421044,333271411.0,3017379000000.0,3976314000000.0,0.36814870235242214,18.077153355795318,16.42107254105525
2023,27720709000000.0,2.88755600906016,3.638,,3.59839135378053,334914895.0,3052469000000.0,3849811000000.0,0.49313680854550235,1.1629298142527,-3.1814137414701182
2024,,,4.106,,,,,,,,
